DATE,AVELISPRI49049
2016-07-01,482842.9803733844
2016-08-01,483594.3837554666
2016-09-01,483873.4571945537
2016-10-01,489064.890648194
2016-11-01,493403.8311343484
2016-12-01,504166.6787564767
2017-01-01,501981.124953134
2017-02-01,514563.7716499044
2017-03-01,534072.5960242068
2017-04-01,542610.305105853
2017-05-01,540226.6672096386
2017-06-01,537584.2327659414
2017-07-01,515297.9250374814
2017-08-01,503619.2240517851
2017-09-01,493966.0516499282
2017-10-01,499451.8513701533
2017-11-01,511077.19946064
2017-12-01,516249.7061639737
2018-01-01,525349.5884756972
2018-02-01,532582.9830499393
2018-03-01,536269.4532085562
2018-04-01,550032.2051429296
2018-05-01,544465.7715257171
2018-06-01,533323.3377082282
2018-07-01,532772.5944142364
2018-08-01,531182.6881350805
2018-09-01,522895.3766173752
2018-10-01,506609.1015688813
2018-11-01,500556.2573781976
2018-12-01,494669.8695462478
2019-01-01,480850.0191068815
2019-02-01,477860.9604618131
2019-03-01,494568.7689879767
2019-04-01,516602.0036037262
2019-05-01,519846.6152836928
2019-06-01,528566.356292517
2019-07-01,532311.0622575588
2019-08-01,514024.862938519
2019-09-01,507166.9451578045
2019-10-01,521414.2663547688
2019-11-01,520587.6778144136
2019-12-01,531574.4168254671
2020-01-01,534487.58548518
2020-02-01,550466.4099162011
2020-03-01,564658.6112043711
2020-04-01,512339.9786294833
2020-05-01,548399.2646720369
2020-06-01,588916.4584593922
2020-07-01,614105.5143363043
2020-08-01,667311.9789368104
2020-09-01,710734.8695704016
2020-10-01,830866.6258692628
2020-11-01,920331.9342553995
2020-12-01,924305.6314273152
2021-01-01,985172.9591836736
2021-02-01,1158007.870939238
2021-03-01,1100872.596226429
2021-04-01,1081723.7944728006
2021-05-01,1012677.2564991334
2021-06-01,925565.823607386
2021-07-01,889644.1495355854
2021-08-01,897272.5126998894
2021-09-01,847870.7172995404
2021-10-01,873458.8429073857
2021-11-01,907814.96037396
2021-12-01,956027.96330085
